# L=100 N=25
# t x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10 x11 y11 x12 y12 x13 y13 x14 y14 x15 y15 x16 y16 x17 y17 x18 y18 x19 y19 x20 y20 x21 y21 x22 y22 x23 y23 x24 y24 x25 y25 K P
11.67000 98.96251933175665 66.96579672499195 95.59333587124621 83.30247418879159 50.17543966908425 37.776032271457005 36.02402928276468 27.93945348800429 0.5906511218702406 46.1249243309171 69.26493730776752 65.97123261919995 68.47424590598685 79.77758131616582 63.25769729515313 97.79003632632835 21.331724418729774 88.33495847403019 49.95587486271815 73.05091709202605 12.37714938864507 59.31610588425667 91.59994137016727 93.52902145299052 4.936815695520562 85.74539165349243 5.064190293751601 17.805480572800622 15.735002250290659 19.78498363500084 47.329455177729756 58.488867129225405 15.63454533365898 97.28966922382418 58.07913373650822 31.66729718424463 74.49171472536112 47.86456733296286 16.481040974617336 32.28977352359563 73.8610676632983 6.988011415958972 68.71139656576338 15.406729495873982 89.99519206256215 40.90967075209477 56.80424265974022 55.24379353193238 79.43208687221532 88.18633379856571 131.53881435270065 -3.709544025510176
11.68000 99.03710944943475 67.1159495463869 95.75492207797292 83.27546661898741 50.21155436510465 37.779818198217605 36.1833290434752 27.917739851517585 0.7063666464237681 46.35519689411473 69.19858524595804 65.85748454746252 68.25735559482841 79.63257786910326 63.37601561061864 97.63920446382564 21.322377438824923 88.23769568355745 49.864040201509326 72.85050404196927 12.25775143010224 59.315192429278476 91.54395158326253 93.55740796826292 4.968565007646164 85.80805619378343 5.102592888619908 17.93245729578254 16.00256837375632 19.918791596683633 47.4334838652103 58.598342796528655 15.631053454339998 97.39606108514877 57.92602006766819 31.63533829528376 74.57867974053251 47.85218756707164 16.599149637417295 32.45904227654051 73.90718096653946 7.0277648718184365 68.93283414265022 15.386451621309606 89.9341434918859 40.96946674484826 56.790949445706275 55.14019416757717 79.51114067515655 88.29100968358502 131.02060802691275 -3.18970011299754
11.69000 99.11177751981367 67.26612251949558 95.91132333435081 83.24692276576724 50.24521270011649 37.78554941089295 36.3426527631572 27.896057522017166 0.8219179977568501 46.58540761115077 69.13216099625059 65.74385077329687 68.04057715776172 79.48751189741026 63.49449679736429 97.48846332013505 21.313166254642713 88.1400944702847 49.77222553735614 72.6499307392022 12.138233733082053 59.31429643510045 91.48781401873694 93.58573168972701 5.005522462996298 85.87224462430403 5.140921407964289 18.05943497488589 16.270247892078263 20.05285111819408 47.535190928453694 58.70881699971935 15.627287456136234 97.50272744727519 57.77534089142852 31.601438463080335 74.66566213191226 47.83981564294203 16.717234112327535 32.62805535514754 73.95521601527467 7.063975982214827 69.15222345542084 15.369571287158923 89.87324699586208 41.02938701307057 56.780066645230086 55.03575086654418 79.5902918469073 88.39569226954129 130.41373623846064 -2.5807155162072535
11.70000 99.18652531247368 67.41631787174614 96.06165825194232 83.21659736188991 50.275868347681964 37.79373377199614 36.502002598886456 27.874407783440226 0.9372985424838897 46.81555481947766 69.06566129098768 65.63033052583667 67.8238954901685 79.34237032602681 63.613137523857105 97.337808487021 21.303989087458277 88.04231184740469 49.680430296192434 72.44917861730845 12.018589987925845 59.31341633818472 91.43155151610961 93.61391380906943 5.048543888759414 85.93827220592915 5.179311556183739 18.186437598797482 16.53790217891917 20.187137425173184 47.63447302139814 58.82041600040962 15.623347658315856 97.60951125639204 57.62764019264859 31.565090512597898 74.75266549972186 47.82745047602097 16.835297461837207 32.79681374889091 74.00566007052323 7.095711972445579 69.36908300445106 15.357022234330392 89.81250958552795 41.08943989764157 56.77169930428101 54.93035676243462 79.66955999138364 88.50039843800651 129.75438454912424 -1.9185777609314862
11.71000 99.26135442201438 67.56653813875667 96.20509056906377 83.18421341673063 50.30293382079493 37.80494534235513 36.66138080644446 27.85279199542936 1.0525116645242665 47.045642294648424 68.99908279591493 65.51692290765979 67.60729729281778 79.19714141870895 63.73193462809797 97.18723550515548 21.29477133356174 87.94446626143069 49.58865416592539 72.24822792919048 11.898813420214017 59.312549984012165 91.37518276650079 93.64189354768068 5.098445248183476 86.00646811916567 5.217851035610708 18.313479898701324 16.805440677769795 20.321634887130617 47.7312778379438 58.93325305574524 15.619306926704441 97.7162939000871 57.48350305267993 31.525720960859346 74.83969363951017 47.81509086495306 16.95334271566682 32.96531858226593 74.0590371394367 7.121916513917957 69.5828944320755 15.349861889946814 89.75192859627398 41.14962908346975 56.765901246885115 54.823919157693226 79.74896203324083 88.60514332269061 129.08907145524066 -1.2497877642333122
11.72000 99.33626623906618 67.71678619992875 96.34089701522916 83.14948789410738 50.3258067191874 37.8198069726762 36.820789747642124 27.831211602387743 1.1675675108805037 47.27567781084391 68.93242211012245 65.40362689218334 67.39077111848583 79.05181482388576 63.85088515326937 97.03673989352325 21.28545903081898 87.84664571901882 49.49689726534711 72.04705855987014 11.77889672829219 59.311694524100425 91.31872304568765 93.6696253696481 5.155934555211085 86.07715276080035 5.2565939805288515 18.44057031485022 17.072806476054073 20.456334043791912 47.82560776961923 59.04742159800062 15.615217158669976 97.82298706220027 57.34352940556152 31.482707427778326 74.92675055846935 47.802735484511594 17.07137286500657 33.13357112124126 74.11587783059584 7.141452622427309 69.79313263522555 15.349228433525262 89.69149500345668 41.2099551394838 56.76267124480434 54.71636552684008 79.8285117083608 88.70994007067357 128.47414499152157 -0.6309477225690314
11.73000 99.41126191896613 67.86706531729047 96.46853762904203 83.11216219003119 50.343907071081304 37.83896024670059 36.98023189682621 27.80966814263928 1.2824807636108837 47.50567215613184 68.86567576646638 65.29044132204275 67.17430727357615 78.9063815069977 63.96998638391939 96.8863171734374 21.27601373031085 87.74891441081822 49.40516037617917 71.84565156815842 11.658832014896992 59.31084630384035 91.262185189358 93.69707657243553 5.221541225885042 86.1506099100348 5.295571225554769 18.567713054385923 17.339966044455114 20.59122954092751 47.91751976747796 59.162988824226375 15.61111436366007 97.92952609151953 57.20829670046646 31.435408697798508 75.01384049282525 47.79038287008375 17.18939085725176 33.30157277883881 74.17667593270114 7.1531766592247195 69.99930915704464 15.35626675243919 89.63119571665918 41.270416622681246 56.76195291808271 54.60764837902896 79.90821906703225 88.81479966649863 127.97140179972706 -0.12441415826951926
11.74000 99.48634240851588 68.01737917713068 96.58771534900755 83.07203311764555 50.356723556548545 37.86302282034767 37.13970984619882 27.788163257237624 1.3972691330312084 47.73563843742962 68.7988402324103 65.17736484714187 66.95789764077676 78.76083362993603 64.08923588040207 96.73596292821865 21.26640851527287 87.65131801934281 49.31344519233232 71.64399193941814 11.538610715476725 59.310000744051884 91.20558079635114 93.72422529266626 5.295556094008084 86.22705799917644 5.334797587680411 18.69490951398432 17.6069019697783 20.72631870218414 48.007121336894336 59.279989790865294 15.607022599875235 98.03586464754271 57.07831368333412 31.383207407567223 75.10096792615336 47.778031425950445 17.307399596159318 33.46932515227938 74.2418355779782 7.156041488453723 70.20102499802462 15.37202529525038 89.57101515540327 41.33101086654333 56.76363842392554 54.4977484028384 79.98808987552795 88.91973074492238 127.63948469212241 0.21038382969059577
11.75000 99.56150829231777 68.16773193338639 96.69841131185406 83.02897887288472 50.36386302451434 37.892536536373356 37.29922630968644 27.766698697860697 1.5119523534009374 47.96559164483634 68.73191191116109 65.0643960476062 66.74153551762913 78.6151644109101 64.20863150950767 96.58567283440267 21.25662493678119 87.55388800049771 49.22175483379085 71.44207333757379 11.418223528266216 59.30915222200546 91.14892166630895 93.75105894173979 5.377995690316274 86.30662614772882 5.37427701801861 18.822159260315374 17.873607795477774 20.86160054415548 48.0945631080541 59.39842157396091 15.602957000343116 98.14197045987905 56.95397088599863 31.325561903829048 75.18813760822026 47.76567940938125 17.42540192665073 33.636829961360796 74.31161806504457 7.14921572537479 70.39802377414914 15.397336645023206 89.51093631979005 41.391734541091594 56.76757548329377 54.38667554464334 80.06812482822835 89.02473934121738 127.52244298200931 0.3286149146310639
11.76000 99.63675981837602 68.31812825042059 96.80088679096733 82.98297447815621 50.365094716261154 37.92791379626156 37.45878412531154 27.745276333184375 1.6265515214154385 48.195548359899625 68.66488714296625 64.95153337357102 66.52521541640938 78.46936798290353 64.32817146896309 96.43544270416326 21.246650672092432 87.4566449206037 49.13009425544884 71.23990614659918 11.297660355169722 59.30829396229748 91.09222149979435 93.77757307278453 5.468599878533893 86.38934028810432 5.414006237608099 18.949460703282938 18.14008440066939 20.99707510004237 48.180028859269314 59.51823626523545 15.59892608513453 98.24782197328192 56.83549640947176 31.262059905222966 75.27535457418863 47.753324922727174 17.543400635575836 33.804089083130215 74.38610124894278 7.13219472097878 70.59023231655492 15.432706537793134 89.45094150665044 41.45258404780243 56.77357687955993 54.27446796080082 80.148318491206 89.12982853870396 127.63866253341497 0.2114025248942393
