#t  x1  x2  v1  v2 
2.57000  8.69314  9.15283  -3.15601  0.87374 
2.58000  8.66117  9.16179  -3.23798  0.91736 
2.59000  8.62838  9.17118  -3.31921  0.96048 
2.60000  8.59478  9.18100  -3.39968  1.00308 
2.61000  8.56039  9.19124  -3.47937  1.04513 
2.62000  8.52520  9.20190  -3.55826  1.08663 
2.63000  8.48922  9.21297  -3.63633  1.12755 
2.64000  8.45247  9.22445  -3.71356  1.16788 
2.65000  8.41495  9.23633  -3.78993  1.20761 
2.66000  8.37667  9.24860  -3.86542  1.24672 
2.67000  8.33764  9.26127  -3.94002  1.28519 
2.68000  8.29787  9.27431  -4.01370  1.32302 
2.69000  8.25737  9.28773  -4.08644  1.36017 
2.70000  8.21614  9.30151  -4.15823  1.39665 
2.71000  8.17420  9.31566  -4.22904  1.43243 
2.72000  8.13156  9.33016  -4.29887  1.46750 
2.73000  8.08823  9.34501  -4.36769  1.50185 
2.74000  8.04421  9.36020  -4.43549  1.53546 
2.75000  7.99952  9.37572  -4.50225  1.56832 
2.76000  7.95416  9.39156  -4.56795  1.60041 
2.77000  7.90816  9.40773  -4.63258  1.63173 
2.78000  7.86151  9.42420  -4.69612  1.66226 
2.79000  7.81424  9.44097  -4.75855  1.69199 
2.80000  7.76634  9.45804  -4.81986  1.72090 
2.81000  7.71784  9.47539  -4.88003  1.74898 
2.82000  7.66874  9.49302  -4.93906  1.77623 
2.83000  7.61906  9.51091  -4.99691  1.80263 
2.84000  7.56880  9.52907  -5.05359  1.82817 
2.85000  7.51799  9.54748  -5.10908  1.85284 
2.86000  7.46662  9.56613  -5.16336  1.87663 
2.87000  7.41472  9.58501  -5.21641  1.89952 
2.88000  7.36229  9.60412  -5.26824  1.92152 
2.89000  7.30935  9.62344  -5.31882  1.94260 
2.90000  7.25592  9.64297  -5.36814  1.96276 
2.91000  7.20199  9.66270  -5.41619  1.98200 
2.92000  7.14759  9.68261  -5.46296  2.00029 
2.93000  7.09273  9.70270  -5.50843  2.01764 
2.94000  7.03742  9.72296  -5.55261  2.03403 
2.95000  6.98168  9.74338  -5.59547  2.04946 
2.96000  6.92551  9.76395  -5.63700  2.06393 
2.97000  6.86894  9.78466  -5.67720  2.07741 
2.98000  6.81197  9.80550  -5.71606  2.08992 
2.99000  6.75462  9.82646  -5.75357  2.10143 
3.00000  6.69690  9.84753  -5.78971  2.11195 
3.01000  6.63882  9.86870  -5.82449  2.12146 
3.02000  6.58041  9.88996  -5.85789  2.12997 
3.03000  6.52167  9.91130  -5.88990  2.13747 
3.04000  6.46261  9.93271  -5.92053  2.14395 
3.05000  6.40326  9.95418  -5.94975  2.14941 
3.06000  6.34362  9.97569  -5.97757  2.15385 
3.07000  6.28370  9.99725  -6.00398  2.15726 
3.08000  6.22354  10.01884  -6.02897  2.15963 
3.09000  6.16312  10.04045  -6.05254  2.16097 
3.10000  6.10249  10.06206  -6.07468  2.16127 
3.11000  6.04163  10.08367  -6.09540  2.16054 
3.12000  5.98058  10.10527  -6.11467  2.15876 
3.13000  5.91934  10.12685  -6.13251  2.15594 
3.14000  5.85793  10.14839  -6.14891  2.15207 
3.15000  5.79636  10.16989  -6.16386  2.14716 
3.16000  5.73465  10.19133  -6.17736  2.14120 
3.17000  5.67281  10.21271  -6.18942  2.13420 
3.18000  5.61086  10.23402  -6.20002  2.12615 
3.19000  5.54881  10.25523  -6.20917  2.11706 
3.20000  5.48668  10.27636  -6.21687  2.10692 
3.21000  5.42447  10.29737  -6.22311  2.09574 
3.22000  5.36222  10.31827  -6.22790  2.08351 
3.23000  5.29992  10.33904  -6.23123  2.07025 
3.24000  5.23759  10.35968  -6.23312  2.05595 
3.25000  5.17525  10.38016  -6.23355  2.04062 
3.26000  5.11292  10.40049  -6.23252  2.02425 
3.27000  5.05060  10.42065  -6.23005  2.00686 
3.28000  4.98832  10.44063  -6.22614  1.98844 
3.29000  4.92608  10.46042  -6.22078  1.96900 
3.30000  4.86390  10.48001  -6.21397  1.94855 
3.31000  4.80180  10.49939  -6.20573  1.92708 
3.32000  4.73979  10.51855  -6.19606  1.90461 
3.33000  4.67788  10.53748  -6.18496  1.88114 
3.34000  4.61609  10.55617  -6.17243  1.85667 
3.35000  4.55443  10.57461  -6.15848  1.83122 
3.36000  4.49292  10.59280  -6.14312  1.80478 
3.37000  4.43157  10.61071  -6.12634  1.77737 
3.38000  4.37039  10.62834  -6.10817  1.74899 
3.39000  4.30941  10.64569  -6.08859  1.71965 
3.40000  4.24862  10.66274  -6.06763  1.68935 
3.41000  4.18805  10.67948  -6.04529  1.65811 
3.42000  4.12772  10.69590  -6.02157  1.62594 
3.43000  4.06762  10.71199  -5.99648  1.59284 
3.44000  4.00779  10.72775  -5.97004  1.55881 
3.45000  3.94822  10.74317  -5.94224  1.52389 
3.46000  3.88894  10.75823  -5.91311  1.48806 
3.47000  3.82996  10.77293  -5.88264  1.45134 
3.48000  3.77129  10.78726  -5.85085  1.41374 
3.49000  3.71294  10.80121  -5.81775  1.37528 
3.50000  3.65493  10.81476  -5.78335  1.33596 
3.51000  3.59727  10.82793  -5.74766  1.29580 
3.52000  3.53998  10.84068  -5.71069  1.25480 
3.53000  3.48306  10.85302  -5.67245  1.21297 
3.54000  3.42653  10.86494  -5.63296  1.17034 
3.55000  3.37040  10.87643  -5.59222  1.12691 
3.56000  3.31469  10.88748  -5.55025  1.08270 
3.57000  3.25940  10.89808  -5.50707  1.03771 
3.58000  3.20455  10.90823  -5.46267  0.99197 
3.59000  3.15014  10.91792  -5.41709  0.94548 
3.60000  3.09620  10.92714  -5.37033  0.89826 
3.61000  3.04274  10.93589  -5.32240  0.85033 
3.62000  2.98976  10.94415  -5.27333  0.80169 
3.63000  2.93727  10.95192  -5.22312  0.75236 
3.64000  2.88529  10.95920  -5.17179  0.70237 
3.65000  2.83383  10.96597  -5.11935  0.65171 
3.66000  2.78291  10.97223  -5.06583  0.60041 
3.67000  2.73252  10.97798  -5.01123  0.54849 
3.68000  2.68268  10.98320  -4.95558  0.49595 
3.69000  2.63341  10.98790  -4.89888  0.44282 
3.70000  2.58470  10.99206  -4.84116  0.38911 
3.71000  2.53658  10.99568  -4.78244  0.33484 
3.72000  2.48906  10.99875  -4.72272  0.28002 
3.73000  2.44213  11.00128  -4.66203  0.22468 
3.74000  2.39581  11.00325  -4.60039  0.16882 
3.75000  2.35012  11.00465  -4.53781  0.11248 
3.76000  2.30506  11.00550  -4.47431  0.05565 
3.77000  2.26063  11.00577  -4.40991  -0.00163 
3.78000  2.21686  11.00546  -4.34463  -0.05936 
3.79000  2.17374  11.00458  -4.27849  -0.11751 
3.80000  2.13129  11.00311  -4.21150  -0.17606 
3.81000  2.08951  11.00106  -4.14369  -0.23500 
3.82000  2.04842  10.99841  -4.07507  -0.29430 
3.83000  2.00801  10.99517  -4.00566  -0.35396 
3.84000  1.96830  10.99133  -3.93550  -0.41394 
3.85000  1.92930  10.98689  -3.86458  -0.47423 
3.86000  1.89101  10.98185  -3.79294  -0.53482 
3.87000  1.85344  10.97620  -3.72059  -0.59568 
3.88000  1.81660  10.96994  -3.64756  -0.65679 
3.89000  1.78049  10.96306  -3.57387  -0.71813 
3.90000  1.74512  10.95557  -3.49953  -0.77969 
3.91000  1.71050  10.94747  -3.42457  -0.84144 
3.92000  1.67663  10.93874  -3.34901  -0.90337 
3.93000  1.64352  10.92940  -3.27287  -0.96545 
3.94000  1.61117  10.91944  -3.19618  -1.02767 
3.95000  1.57960  10.90885  -3.11894  -1.08999 
3.96000  1.54879  10.89764  -3.04119  -1.15242 
3.97000  1.51877  10.88580  -2.96295  -1.21491 
3.98000  1.48954  10.87334  -2.88424  -1.27746 
3.99000  1.46109  10.86025  -2.80508  -1.34005 
4.00000  1.43343  10.84654  -2.72549  -1.40264 
4.01000  1.40658  10.83220  -2.64550  -1.46523 
4.02000  1.38052  10.81723  -2.56512  -1.52779 
4.03000  1.35528  10.80164  -2.48438  -1.59030 
4.04000  1.33084  10.78543  -2.40331  -1.65274 
4.05000  1.30721  10.76859  -2.32192  -1.71509 
4.06000  1.28440  10.75112  -2.24024  -1.77733 
4.07000  1.26240  10.73304  -2.15829  -1.83943 
4.08000  1.24123  10.71434  -2.07608  -1.90139 
4.09000  1.22088  10.69501  -1.99366  -1.96317 
4.10000  1.20136  10.67507  -1.91103  -2.02476 
4.11000  1.18266  10.65452  -1.82822  -2.08614 
4.12000  1.16479  10.63335  -1.74526  -2.14728 
4.13000  1.14776  10.61157  -1.66216  -2.20817 
4.14000  1.13155  10.58919  -1.57895  -2.26878 
4.15000  1.11618  10.56620  -1.49565  -2.32909 
4.16000  1.10164  10.54260  -1.41228  -2.38909 
4.17000  1.08793  10.51841  -1.32887  -2.44875 
4.18000  1.07506  10.49363  -1.24544  -2.50806 
4.19000  1.06302  10.46825  -1.16201  -2.56699 
4.20000  1.05182  10.44229  -1.07861  -2.62552 
4.21000  1.04145  10.41574  -0.99525  -2.68363 
4.22000  1.03192  10.38862  -0.91197  -2.74131 
4.23000  1.02321  10.36092  -0.82877  -2.79853 
4.24000  1.01534  10.33265  -0.74569  -2.85527 
4.25000  1.00830  10.30381  -0.66274  -2.91152 
4.26000  1.00209  10.27442  -0.57995  -2.96725 
4.27000  0.99670  10.24447  -0.49735  -3.02244 
4.28000  0.99214  10.21397  -0.41494  -3.07708 
4.29000  0.98840  10.18292  -0.33276  -3.13115 
4.30000  0.98548  10.15134  -0.25083  -3.18462 
4.31000  0.98338  10.11923  -0.16917  -3.23748 
4.32000  0.98210  10.08659  -0.08779  -3.28972 
4.33000  0.98163  10.05344  -0.00673  -3.34130 
4.34000  0.98197  10.01977  0.07400  -3.39221 
4.35000  0.98311  9.98559  0.15438  -3.44244 
4.36000  0.98505  9.95092  0.23438  -3.49196 
4.37000  0.98780  9.91575  0.31398  -3.54077 
4.38000  0.99133  9.88010  0.39317  -3.58883 
4.39000  0.99566  9.84398  0.47192  -3.63614 
4.40000  1.00077  9.80738  0.55021  -3.68267 
4.41000  1.00666  9.77032  0.62803  -3.72841 
4.42000  1.01333  9.73281  0.70534  -3.77334 
4.43000  1.02077  9.69486  0.78214  -3.81744 
4.44000  1.02897  9.65646  0.85840  -3.86071 
4.45000  1.03794  9.61764  0.93410  -3.90312 
4.46000  1.04766  9.57840  1.00923  -3.94465 
4.47000  1.05812  9.53875  1.08375  -3.98529 
4.48000  1.06933  9.49870  1.15767  -4.02503 
4.49000  1.08128  9.45825  1.23094  -4.06384 
4.50000  1.09395  9.41742  1.30357  -4.10172 
4.51000  1.10735  9.37622  1.37553  -4.13865 
4.52000  1.12146  9.33465  1.44679  -4.17462 
4.53000  1.13628  9.29272  1.51735  -4.20960 
4.54000  1.15181  9.25045  1.58719  -4.24360 
4.55000  1.16803  9.20785  1.65628  -4.27658 
4.56000  1.18493  9.16492  1.72461  -4.30854 
4.57000  1.20252  9.12168  1.79217  -4.33947 
4.58000  1.22078  9.07813  1.85894  -4.36935 
4.59000  1.23970  9.03429  1.92490  -4.39817 
4.60000  1.25927  8.99017  1.99003  -4.42592 
4.61000  1.27950  8.94577  2.05432  -4.45259 
4.62000  1.30036  8.90112  2.11776  -4.47816 
4.63000  1.32185  8.85621  2.18032  -4.50262 
4.64000  1.34397  8.81107  2.24200  -4.52597 
4.65000  1.36669  8.76569  2.30278  -4.54818 
4.66000  1.39002  8.72010  2.36264  -4.56925 
4.67000  1.41395  8.67431  2.42157  -4.58918 
